"original_country","fem","age","sec","tertmore"
"Australia",48.9347079037801,40.706529209622,20.6185567010309,79.3814432989691
"Austria",50.076103500761,40.7534246575342,54.9467275494673,45.0532724505327
"Brazil",51.2261580381471,37.708446866485,74.3869209809264,25.6130790190736
"Canada",48.9385474860335,41.0402234636872,37.3184357541899,62.6815642458101
"China",48.6286919831224,35.5247890295359,10.3902953586498,89.6097046413502
"Egypt",23.8095238095238,38.2162698412698,14.484126984127,85.515873015873
"France",47.6261127596439,40.9324925816024,46.7359050445105,53.2640949554895
"Germany",49.4853523357086,41.6417260490895,70.0316706254947,29.9683293745053
"Greece",46.969696969697,41.1851119894598,24.0447957839262,75.9552042160738
"Hungary",50.8328192473781,40.7057371992597,60.1480567550894,39.8519432449106
"India",48.3505154639175,34.819587628866,9.0721649484536,90.9278350515464
"Italy",50.9677419354839,41.4032258064516,33.6559139784946,66.3440860215054
"Japan",48.4848484848485,40.9318181818182,42.7489177489177,57.2510822510823
"Korea",47.2861085556578,41.3127874885005,4.87580496780129,95.1241950321987
"Malaysia",50.9881422924901,37.3152173913044,17.3913043478261,82.6086956521739
"Netherlands",45.2391595887349,40.4157353598569,18.6857398301296,81.3142601698704
"Poland",51.2282804074296,39.222288795686,58.7177950868784,41.2822049131216
"Russia",50.9533898305085,39.8029661016949,5.72033898305084,94.2796610169491
"Serbia",53.6692223439211,41.8674698795181,34.9397590361446,65.0602409638554
"Singapore",48.3033932135729,40.3213572854291,10.1796407185629,89.8203592814371
"Spain",50.330250990753,39.4147952443857,20.6076618229855,79.3923381770145
"Sweden",56.71768707483,41.4353741496599,51.1054421768707,48.8945578231293
"Taiwan",50.2369668246446,40.0805687203791,10.1421800947867,89.8578199052133
"Turkey",48.2739105829089,38.0945104697227,2.99943406904354,97.0005659309565
"UK",46.9020652898068,42.0366422385077,35.3764157228514,64.6235842771486
"USA",49.5911495911496,40.97594997595,51.2265512265512,48.7734487734488
"Ukraine",46.3768115942028,38.2075362318841,26.7826086956522,73.2173913043478
